Make;Model;Vehicle Class;Engine Size(L);Cylinders;Transmission;Fuel Type;Fuel Consumption City (L/100 km);Fuel Consumption Hwy (L/100 km);Fuel Consumption Comb (L/100 km);Fuel Consumption Comb (mpg);CO2 Emissions(g/km)
JAGUAR;XKR CONVERTIBLE;MINICOMPACT;5;8;AS6;Z;15. Sep;10. Sep;13. Jun;21;313
JAGUAR;XKR COUPE;MINICOMPACT;5;8;AS6;Z;15. Jun;10. Sep;13. Apr;21;308
JAGUAR;XKR-S CONVERTIBLE;MINICOMPACT;5;8;AS6;Z;15. Sep;10. Sep;13. Jun;21;313
JAGUAR;XKR-S COUPE;MINICOMPACT;5;8;AS6;Z;15. Jun;10. Sep;13. Apr;21;308
JEEP;CHEROKEE;SUV - SMALL;02. Apr;4;A9;X;10. Sep;07. Jul;09. May;30;218
JEEP;CHEROKEE FFV;SUV - SMALL;02. Apr;4;A9;X;10. Sep;07. Jul;09. May;30;218
JEEP;CHEROKEE FFV;SUV - SMALL;02. Apr;4;A9;E;15. Feb;10. Feb;12. Sep;22;206
JEEP;CHEROKEE;SUV - SMALL;03. Feb;6;A9;X;11. Apr;08. Jan;09. Sep;29;228
JEEP;CHEROKEE 4X4;SUV - SMALL;02. Apr;4;A9;X;11. Mar;08. Mar;10;28;230
JEEP;CHEROKEE 4X4 FFV;SUV - SMALL;02. Apr;4;A9;X;11. Mar;08. Mar;10;28;230
JEEP;CHEROKEE 4X4 FFV;SUV - SMALL;02. Apr;4;A9;E;15. Sep;11;13. Jul;21;219
JEEP;CHEROKEE 4X4;SUV - SMALL;03. Feb;6;A9;X;11. Jun;08. May;10. Feb;28;235
JEEP;CHEROKEE 4X4 ACTIVE DRIVE II;SUV - SMALL;02. Apr;4;A9;X;11. Apr;08. Jun;10. Jan;28;232
JEEP;CHEROKEE 4X4 ACTIVE DRIVE II;SUV - SMALL;03. Feb;6;A9;X;12. Jun;08. Sep;10. Sep;26;251
JEEP;CHEROKEE TRAILHAWK 4X4;SUV - SMALL;02. Apr;4;A9;X;12. Jan;09. Apr;10. Sep;26;251
JEEP;CHEROKEE TRAILHAWK 4X4;SUV - SMALL;03. Feb;6;A9;X;12. Feb;9;10. Aug;26;248
JEEP;COMPASS;SUV - SMALL;2;4;AV;X;10. Jul;08. Aug;09. Sep;29;228
JEEP;COMPASS;SUV - SMALL;2;4;M5;X;10. Feb;07. Aug;09. Feb;31;212
JEEP;COMPASS;SUV - SMALL;02. Apr;4;A6;X;11. Feb;08. Jun;10;28;230
JEEP;COMPASS;SUV - SMALL;02. Apr;4;M5;X;10. Feb;08. Feb;09. Mar;30;214
JEEP;COMPASS 4X4;SUV - SMALL;02. Apr;4;A6;X;11. Apr;08. Jul;10. Feb;28;235
JEEP;COMPASS 4X4;SUV - SMALL;02. Apr;4;M5;X;10. Jun;08. Jun;09. Jul;29;223
JEEP;COMPASS 4X4 TRAIL RATED;SUV - SMALL;02. Apr;4;AV;X;11. Jul;10. Mar;11. Jan;25;255
JEEP;GRAND CHEROKEE 4X4 DIESEL;SUV - STANDARD;3;6;A8;D;11. Feb;08. Apr;09. Sep;29;267
JEEP;GRAND CHEROKEE 4X4 FFV;SUV - STANDARD;03. Jun;6;A8;X;13. Sep;09. Aug;12. Jan;23;278
JEEP;GRAND CHEROKEE 4X4 FFV;SUV - STANDARD;03. Jun;6;A8;E;17. Jul;13;15. Jun;18;250
JEEP;GRAND CHEROKEE 4X4 (MDS);SUV - STANDARD;05. Jul;8;A8;X;17. Mar;11. May;14. Jul;19;338
JEEP;GRAND CHEROKEE SRT 4X4 (MDS);SUV - STANDARD;06. Apr;8;A8;Z;18. May;12. Jun;15. Aug;18;363
JEEP;PATRIOT;SUV - SMALL;2;4;AV;X;10. Jul;08. Aug;09. Sep;29;228
JEEP;PATRIOT;SUV - SMALL;2;4;M5;X;10. Feb;07. Aug;09. Feb;31;212
JEEP;PATRIOT;SUV - SMALL;02. Apr;4;A6;X;11. Feb;08. Jun;10;28;230
JEEP;PATRIOT;SUV - SMALL;02. Apr;4;M5;X;10. Feb;08. Feb;09. Mar;30;214
JEEP;PATRIOT 4X4;SUV - SMALL;02. Apr;4;A6;X;11. Apr;08. Jul;10. Feb;28;235
JEEP;PATRIOT 4X4;SUV - SMALL;02. Apr;4;M5;X;10. Jun;08. Jun;09. Jul;29;223
JEEP;PATRIOT 4X4 TRAIL RATED;SUV - SMALL;02. Apr;4;AV;X;11. Jul;10. Mar;11. Jan;25;255
JEEP;RENEGADE;SUV - SMALL;01. Apr;4;M6;X;09. Sep;07. May;08. Aug;32;202
JEEP;RENEGADE FFV;SUV - SMALL;02. Apr;4;A9;X;10. Aug;07. Jul;09. Apr;30;216
JEEP;RENEGADE FFV;SUV - SMALL;02. Apr;4;A9;E;14. Feb;09. Sep;12. Feb;23;195
JEEP;RENEGADE 4X4;SUV - SMALL;01. Apr;4;M6;X;09. Sep;07. May;08. Aug;32;202
JEEP;RENEGADE 4X4;SUV - SMALL;02. Apr;4;A9;X;11. Feb;8;09. Aug;29;225
JEEP;WRANGLER 4X4;SUV - SMALL;03. Jun;6;A5;X;14. Jan;11. Jan;12. Aug;22;294
JEEP;WRANGLER 4X4;SUV - SMALL;03. Jun;6;M6;X;14. Feb;11;12. Aug;22;294
JEEP;WRANGLER UNLIMITED 4X4;SUV - SMALL;03. Jun;6;A5;X;14. Aug;11. Jul;13. Apr;21;308
JEEP;WRANGLER UNLIMITED 4X4;SUV - SMALL;03. Jun;6;M6;X;15;11. Apr;13. Apr;21;308
KIA;CADENZA;FULL-SIZE;03. Mar;6;AS6;X;12. Jul;08. Apr;10. Jul;26;246
KIA;FORTE;MID-SIZE;01. Aug;4;AS6;X;08. Aug;06. Jan;07. Jun;37;175
KIA;FORTE;MID-SIZE;01. Aug;4;M6;X;09. Mar;06. Mar;07. Sep;36;182
KIA;FORTE;MID-SIZE;2;4;AS6;X;09. Jul;06. Jul;08. Mar;34;191
KIA;FORTE;MID-SIZE;2;4;M6;X;09. Aug;06. Sep;08. May;33;196
KIA;FORTE 5;FULL-SIZE;01. Jun;4;AS6;X;11. Jan;8;09. Jul;29;223
KIA;FORTE 5;FULL-SIZE;01. Jun;4;M6;X;11. Jan;08. Feb;09. Aug;29;225
KIA;FORTE 5;FULL-SIZE;2;4;AS6;X;09. May;07. Feb;08. May;33;196
KIA;FORTE 5;FULL-SIZE;2;4;M6;X;09. Jul;06. Sep;08. Apr;34;193
KIA;FORTE KOUP;COMPACT;01. Jun;4;AS6;X;10. Jun;07. Aug;09. Apr;30;216
KIA;FORTE KOUP;COMPACT;01. Jun;4;M6;X;10. Aug;08. Jan;09. Jun;29;221
KIA;FORTE KOUP;COMPACT;2;4;AS6;X;09. Jul;07. Jan;08. Jun;33;198
KIA;FORTE KOUP;COMPACT;2;4;M6;X;10;07. Apr;08. Aug;32;202
KIA;K900;FULL-SIZE;03. Aug;6;AS8;X;13. Mar;08. Sep;11. Mar;25;260
KIA;K900;FULL-SIZE;5;8;AS8;Z;15. Jul;10. Mar;13. Mar;21;306
KIA;OPTIMA;MID-SIZE;2;4;AS6;X;11. Jul;07. Jul;09. Sep;29;228
KIA;OPTIMA;MID-SIZE;02. Apr;4;AS6;X;10. Feb;06. Sep;08. Jul;32;200
KIA;OPTIMA HYBRID;MID-SIZE;02. Apr;4;AS6;X;06. Jun;05. Sep;06. Mar;45;145
KIA;OPTIMA HYBRID EX;MID-SIZE;02. Apr;4;AS6;X;06. Jul;06. Jan;06. Apr;44;147
KIA;RIO;COMPACT;01. Jun;4;AS6;X;08. Aug;06. Mar;07. Jul;37;177
KIA;RIO;COMPACT;01. Jun;4;M6;X;08. Jul;06. Apr;07. Jul;37;177
KIA;RIO ECO;COMPACT;01. Jun;4;AS6;X;08. May;06. Mar;07. Jun;37;175
KIA;RONDO;STATION WAGON - MID-SIZE;2;4;AS6;X;10. Jun;07. Jun;09. Mar;30;214
KIA;RONDO;STATION WAGON - MID-SIZE;2;4;M6;X;10. Aug;07. Apr;09. Mar;30;214
KIA;SEDONA;MINIVAN;03. Mar;6;AS6;X;13. Feb;09. Jul;11. Jun;24;267
KIA;SEDONA SX;MINIVAN;03. Mar;6;AS6;X;12. Sep;09. May;11. Apr;25;262
KIA;SEDONA SXL;MINIVAN;03. Mar;6;AS6;X;14. Feb;10. May;12. May;23;288
KIA;SORENTO;SUV - SMALL;02. Apr;4;AS6;X;11. Aug;08. Jul;10. Apr;27;239
KIA;SORENTO;SUV - SMALL;03. Mar;6;AS6;X;12. Jul;9;11. Jan;25;255
KIA;SORENTO AWD;SUV - SMALL;02. Apr;4;AS6;X;12. Feb;09. Apr;10. Sep;26;251
KIA;SORENTO AWD;SUV - SMALL;03. Mar;6;AS6;X;13. Apr;10;11. Aug;24;271
KIA;SOUL;STATION WAGON - SMALL;01. Jun;4;AS6;X;09. Aug;07. Aug;08. Sep;32;205
KIA;SOUL;STATION WAGON - SMALL;01. Jun;4;M6;X;09. Sep;07. Aug;9;31;207
KIA;SOUL;STATION WAGON - SMALL;2;4;AS6;X;10. Jan;07. Jul;9;31;207
KIA;SOUL ECO Dynamics;STATION WAGON - SMALL;2;4;AS6;X;09. Jul;07. Jul;08. Aug;32;202
KIA;SPORTAGE;SUV - SMALL;02. Apr;4;AS6;X;11. Apr;08. Mar;10;28;230
KIA;SPORTAGE;SUV - SMALL;02. Apr;4;M6;X;12. Sep;09. Feb;11. Mar;25;260
KIA;SPORTAGE AWD;SUV - SMALL;2;4;AS6;X;12. Jun;09. Jul;11. Mar;25;260
KIA;SPORTAGE AWD;SUV - SMALL;02. Apr;4;AS6;X;12;09. Jan;10. Jul;26;246
LAMBORGHINI;AVENTADOR COUPE;TWO-SEATER;06. May;12;AM7;Z;22. Feb;12. Jul;17. Sep;16;412
LAMBORGHINI;AVENTADOR ROADSTER;TWO-SEATER;06. May;12;AM7;Z;24;14. May;19. Jul;14;453
LAMBORGHINI;HURACAN;TWO-SEATER;05. Feb;10;AM7;Z;16. Aug;11. Jul;14. May;19;334
LAMBORGHINI;VENENO ROADSTER;TWO-SEATER;06. May;12;AM7;Z;22. Jan;13. Sep;18. Apr;15;423
LAND ROVER;LR2;SUV - SMALL;2;4;AS6;Z;13. May;09. Sep;11. Sep;24;274
LAND ROVER;LR4;SUV - STANDARD;3;6;AS8;Z;16. Feb;12. Jan;14. Mar;20;329
LAND ROVER;RANGE ROVER;SUV - STANDARD;3;6;AS8;Z;13. Sep;10. Apr;12. Mar;23;283
LAND ROVER;RANGE ROVER SUPERCHARGED;SUV - STANDARD;5;8;AS8;Z;17. Feb;12. May;15. Jan;19;347
LAND ROVER;RANGE ROVER SUPERCHARGED;SUV - STANDARD;5;8;AS8;E;25;16. Sep;21. Apr;13;342
LAND ROVER;RANGE ROVER SUPERCHARGED LWB;SUV - STANDARD;5;8;AS8;Z;17. Feb;12. May;15. Jan;19;347
LAND ROVER;RANGE ROVER SUPERCHARGED LWB;SUV - STANDARD;5;8;AS8;E;25;16. Sep;21. Apr;13;342
LAND ROVER;RANGE ROVER EVOQUE;SUV - SMALL;2;4;AS9;Z;11. Mar;07. Sep;09. Jul;29;223
LAND ROVER;RANGE ROVER EVOQUE COUPE;SUV - SMALL;2;4;AS9;Z;11. Mar;07. Sep;09. Jul;29;223
LAND ROVER;RANGE ROVER SPORT;SUV - STANDARD;3;6;AS8;Z;14;10. May;12. Apr;23;285
LAND ROVER;RANGE ROVER SPORT SUPERCHARGED;SUV - STANDARD;5;8;AS8;Z;16. Jun;12. Mar;14. Jul;19;338
LAND ROVER;RANGE ROVER SPORT SUPERCHARGED;SUV - STANDARD;5;8;AS8;E;24;16. Jun;20. Jul;14;331
LEXUS;CT 200h;COMPACT;01. Aug;4;AV;X;05. May;05. Sep;05. Jul;50;131
LEXUS;ES 300h;MID-SIZE;02. May;4;AV6;X;05. Aug;06. Jan;05. Sep;48;136
LEXUS;ES 350;MID-SIZE;03. May;6;AS6;X;11. Mar;07. May;09. Jun;29;221
LEXUS;GS 350;MID-SIZE;03. May;6;AS8;Z;12. Mar;08. May;10. Jun;27;244
LEXUS;GS 350 AWD;MID-SIZE;03. May;6;AS6;Z;12. Jun;09. Jan;11;26;253
LEXUS;GS 450h;MID-SIZE;03. May;6;AV8;Z;8;06. Sep;07. May;38;172
LEXUS;GX 460;SUV - STANDARD;04. Jun;8;AS6;Z;15. Jul;11. Jul;13. Sep;20;320
LEXUS;IS 250;COMPACT;02. May;6;AS6;Z;11. Jan;07. Aug;09. Jun;29;221
LEXUS;IS 250 AWD;COMPACT;02. May;6;AS6;Z;11. Aug;08. Jul;10. Apr;27;239
LEXUS;IS 250 C;SUBCOMPACT;02. May;6;AS6;Z;11. Feb;07. Aug;09. Jun;29;221
LEXUS;IS 350;COMPACT;03. May;6;AS8;Z;12. Mar;08. May;10. Jun;27;244
LEXUS;IS 350 AWD;COMPACT;03. May;6;AS6;Z;12. Jun;09. Jan;11;26;253
LEXUS;IS 350 C;SUBCOMPACT;03. May;6;AS6;Z;12. Feb;08. Jul;10. Jun;27;244
LEXUS;LS 460;MID-SIZE;04. Jun;8;AS8;Z;14. Apr;09. Jun;12. Mar;23;283
LEXUS;LS 460 AWD;MID-SIZE;04. Jun;8;AS8;Z;15. Feb;10. Feb;12. Sep;22;297
LEXUS;LS 460 L AWD;MID-SIZE;04. Jun;8;AS8;Z;15. Feb;10. Feb;12. Sep;22;297
LEXUS;LS 600h L;MID-SIZE;5;8;AV8;Z;12. Jul;10. Jan;11. May;25;264
LEXUS;LX 570;SUV - STANDARD;05. Jul;8;AS6;Z;19;13. Jun;16. Jun;17;382
LEXUS;NX 200t AWD;SUV - SMALL;2;4;AS6;Z;10. Jun;08. Apr;09. Jun;29;221
LEXUS;NX 200t AWD F SPORT;SUV - SMALL;2;4;AS6;Z;10. Aug;08. Aug;09. Sep;29;228
LEXUS;NX 300h AWD;SUV - SMALL;02. May;4;AV6;X;07. Jan;07. Jul;07. Apr;38;170
LEXUS;RC 350;SUBCOMPACT;03. May;6;AS8;Z;12. Mar;08. May;10. Jun;27;244
LEXUS;RC 350 AWD;SUBCOMPACT;03. May;6;AS6;Z;12. Jun;09. Jan;11;26;253
LEXUS;RC F;SUBCOMPACT;5;8;AS8;Z;15. Feb;09. May;12. Jun;22;290
LEXUS;RX 350 AWD;SUV - SMALL;03. May;6;AS6;X;13. Mar;09. Aug;11. Jul;24;269
LEXUS;RX 350 AWD;SUV - SMALL;03. May;6;AS8;X;12. Jul;09. Jan;11. Jan;25;255
LEXUS;RX 450h AWD;SUV - SMALL;03. May;6;AV6;Z;8;08. May;08. Feb;34;189
LINCOLN;MKC AWD;SUV - SMALL;2;4;AS6;X;12. Apr;9;10. Sep;26;251
LINCOLN;MKC AWD;SUV - SMALL;02. Mar;4;AS6;X;12. Sep;09. Feb;11. Feb;25;258
LINCOLN;MKS AWD;FULL-SIZE;03. May;6;AS6;X;13. Sep;09. May;11. Sep;24;274
LINCOLN;MKS AWD;FULL-SIZE;03. Jul;6;AS6;X;13. Jan;9;11. Feb;25;258
LINCOLN;MKT AWD;SUV - STANDARD;03. May;6;AS6;X;14. Jun;10. Apr;12. Aug;22;294
LINCOLN;MKT LIVERY;SPECIAL PURPOSE VEHICLE;2;4;AS6;X;11. May;08. Apr;10. Jan;28;232
LINCOLN;MKT LIVERY AWD;SPECIAL PURPOSE VEHICLE;03. Jul;6;A6;X;14. Jan;10;12. Feb;23;281
LINCOLN;MKX AWD;SUV - SMALL;03. Jul;6;AS6;X;13. Jul;10. Mar;12. Jan;23;278
LINCOLN;MKZ;MID-SIZE;2;4;AS6;X;10. May;7;08. Sep;32;205
LINCOLN;MKZ AWD;MID-SIZE;03. Jul;6;AS6;X;13. Jan;09. Feb;11. Mar;25;260
LINCOLN;MKZ HYBRID;MID-SIZE;2;4;AV;X;05. Jul;6;05. Aug;49;133
LINCOLN;NAVIGATOR 4X4;SUV - STANDARD;03. May;6;AS6;X;16. Feb;11. Aug;14. Feb;20;327
LINCOLN;NAVIGATOR L 4X4;SUV - STANDARD;03. May;6;AS6;X;16. Jan;12. Mar;14. Apr;20;331
MASERATI;GHIBLI;MID-SIZE;3;6;AS8;Z;15. Feb;09. Jun;12. Jul;22;292
MASERATI;GHIBLI AWD;MID-SIZE;3;6;AS8;Z;15. Jun;09. May;12. Aug;22;294
MASERATI;GRANTURISMO;SUBCOMPACT;04. Jul;8;AS6;Z;18. Feb;11. Apr;15. Jan;19;347
MASERATI;GRANTURISMO CONVERTIBLE;SUBCOMPACT;04. Jul;8;AS6;Z;18. Feb;11. Jun;15. Feb;19;350
MASERATI;QUATTROPORTE GTS;FULL-SIZE;03. Aug;8;AS8;Z;17. May;10. Jul;14. May;19;334
MASERATI;QUATTROPORTE SQ4;FULL-SIZE;3;6;AS8;Z;15. Jul;09. Jul;13;22;299
MAZDA;CX-5;SUV - SMALL;2;4;AS6;X;08. Sep;07. Mar;08. Feb;34;189
MAZDA;CX-5;SUV - SMALL;2;4;M6;X;9;06. Aug;8;35;184
MAZDA;CX-5;SUV - SMALL;02. May;4;AS6;X;09. Jun;07. Apr;08. Jun;33;198
MAZDA;CX-5 4WD;SUV - SMALL;2;4;AS6;X;09. Mar;07. Jun;08. May;33;196
MAZDA;CX-5 4WD;SUV - SMALL;02. May;4;AS6;X;09. Sep;07. Sep;9;31;207
MAZDA;CX-9;SUV - SMALL;03. Jul;6;AS6;X;14. Feb;10;12. Mar;23;283
MAZDA;CX-9 4WD;SUV - SMALL;03. Jul;6;AS6;X;14. Mar;10. Jun;12. Jul;22;292
MAZDA;MAZDA3 4-DOOR;COMPACT;2;4;AS6;X;07. Sep;05. Jul;06. Sep;41;159
MAZDA;MAZDA3 4-DOOR (SIL);COMPACT;2;4;M6;X;8;05. Aug;7;40;161
MAZDA;MAZDA3 4-DOOR;COMPACT;02. May;4;AS6;X;08. Apr;06. Jan;07. Apr;38;170
MAZDA;MAZDA3 4-DOOR (i-ELOOP);COMPACT;02. May;4;AS6;X;08. Feb;05. Sep;07. Feb;39;166
MAZDA;MAZDA3 4-DOOR (SIL);COMPACT;02. May;4;M6;X;09. Mar;06. Apr;8;35;184
MAZDA;MAZDA3 5-DOOR;MID-SIZE;2;4;AS6;X;8;05. Sep;7;40;161
MAZDA;MAZDA3 5-DOOR (SIL);MID-SIZE;2;4;M6;X;08. Feb;05. Sep;07. Jan;40;163
MAZDA;MAZDA3 5-DOOR;MID-SIZE;02. May;4;AS6;X;08. Jul;06. May;07. Jul;37;177
MAZDA;MAZDA3 5-DOOR (i-ELOOP);MID-SIZE;02. May;4;AS6;X;08. Feb;6;07. Feb;39;166
MAZDA;MAZDA3 5-DOOR (SIL);MID-SIZE;02. May;4;M6;X;09. Feb;06. Jun;08. Jan;35;186
MAZDA;MAZDA5;MINIVAN;02. May;4;AS5;X;10. Jul;08. Feb;09. Jun;29;221
MAZDA;MAZDA5;MINIVAN;02. May;4;M6;X;11. Jan;08. Mar;09. Aug;29;225
MAZDA;MAZDA6;MID-SIZE;02. May;4;AS6;X;08. Aug;06. Jan;07. Jun;37;175
MAZDA;MAZDA6;MID-SIZE;02. May;4;M6;X;09. Apr;06. Apr;08. Jan;35;186
MAZDA;MAZDA6 (i-ELOOP);MID-SIZE;02. May;4;AS6;X;08. Apr;05. Sep;07. Mar;39;168
MAZDA;MX-5;TWO-SEATER;2;4;AS6;Z;11. May;08. May;10. Jan;28;232
MAZDA;MX-5;TWO-SEATER;2;4;M5;Z;10. May;08. May;09. Jun;29;221
MAZDA;MX-5;TWO-SEATER;2;4;M6;Z;11. Jan;08. Apr;09. Sep;29;228
MERCEDES-BENZ;B 250;STATION WAGON - SMALL;2;4;AS7;Z;09. Feb;06. Jun;8;35;184
MERCEDES-BENZ;B 250 4MATIC;STATION WAGON - SMALL;2;4;AS7;Z;10;07. May;08. Sep;32;205
MERCEDES-BENZ;C 250 COUPE;SUBCOMPACT;01. Aug;4;AS7;Z;10. Sep;07. May;09. Apr;30;216
MERCEDES-BENZ;C 300 4MATIC;COMPACT;2;4;AS7;Z;10. Jan;07. Aug;9;31;207
MERCEDES-BENZ;C 350 4MATIC COUPE;SUBCOMPACT;03. May;6;AS7;Z;12. Jan;08. Jul;10. Jun;27;244
MERCEDES-BENZ;C 350 COUPE;SUBCOMPACT;03. May;6;AS7;Z;12. Jan;08. Jun;10. May;27;242
MERCEDES-BENZ;C 400 4MATIC;COMPACT;3;6;AS7;Z;11. Jan;08. Apr;09. Sep;29;228
MERCEDES-BENZ;C 63 AMG COUPE;SUBCOMPACT;06. Feb;8;AS7;Z;17. Sep;12. Mar;15. Apr;18;354
MERCEDES-BENZ;CLA 250;SUBCOMPACT;2;4;AS7;Z;09. Apr;06. Apr;08. Jan;35;186
MERCEDES-BENZ;CLA 250 4MATIC;SUBCOMPACT;2;4;AS7;Z;09. Sep;07. Apr;08. Aug;32;202
MERCEDES-BENZ;CLA 45 AMG;COMPACT;2;4;AS7;Z;10. Feb;07. Jul;09. Jan;31;209
MERCEDES-BENZ;CLS 400 4MATIC;COMPACT;3;6;AS7;Z;12. Jan;08. May;10. May;27;242
MERCEDES-BENZ;CLS 550 4MATIC;COMPACT;04. Jul;8;AS7;Z;14. May;10. Jan;12. May;23;288
MERCEDES-BENZ;CLS 63 AMG 4MATIC;COMPACT;05. May;8;AS7;Z;15. Jan;10. Aug;13. Jan;22;301
MERCEDES-BENZ;E 250 BLUETEC 4MATIC;MID-SIZE;02. Jan;4;AS7;D;08. Jun;05. Sep;07. Apr;38;200
MERCEDES-BENZ;E 300 4MATIC;MID-SIZE;03. May;6;AS7;Z;11. Sep;08. Feb;10. Feb;28;235
MERCEDES-BENZ;E 400 4MATIC;MID-SIZE;3;6;AS7;Z;12;08. May;10. Apr;27;239
MERCEDES-BENZ;E 400 4MATIC WAGON;STATION WAGON - MID-SIZE;03. May;6;AS7;Z;12. Apr;08. Aug;10. Aug;26;248
MERCEDES-BENZ;E 400 CABRIOLET;SUBCOMPACT;03. May;6;AS7;Z;11. May;08. Jan;10;28;230
MERCEDES-BENZ;E 400 COUPE;SUBCOMPACT;03. May;6;AS7;Z;11. Aug;08. Mar;10. Feb;28;235
MERCEDES-BENZ;E 550 4MATIC;MID-SIZE;04. Jul;8;AS7;Z;12. Sep;09. Jun;11. Apr;25;262
MERCEDES-BENZ;E 550 CABRIOLET;SUBCOMPACT;04. Jul;8;AS7;Z;13. Jul;09. Feb;11. Jul;24;269
MERCEDES-BENZ;E 550 COUPE;SUBCOMPACT;04. Jul;8;AS7;Z;13. Mar;08. Sep;11. Apr;25;262
MERCEDES-BENZ;E 63 AMG S 4MATIC;MID-SIZE;05. May;8;AS7;Z;15. Mar;10. Aug;13. Mar;21;306
MERCEDES-BENZ;E 63 AMG S 4MATIC WAGON;STATION WAGON - MID-SIZE;05. May;8;AS7;Z;15. Feb;11;13. Mar;21;306
MERCEDES-BENZ;G 550;SUV - STANDARD;05. May;8;AS7;Z;19. Sep;16. Jan;18. Feb;16;419
MERCEDES-BENZ;G 63 AMG;SUV - STANDARD;05. May;8;AS7;Z;20;16. Jun;18. May;15;426
MERCEDES-BENZ;GL 350 BLUETEC 4MATIC;SUV - STANDARD;3;6;AS7;D;13. Jun;10;12;24;324
MERCEDES-BENZ;GL 450 4MATIC;SUV - STANDARD;3;6;AS7;Z;15. Feb;12. Jun;14;20;322
MERCEDES-BENZ;GL 550 4MATIC;SUV - STANDARD;04. Jul;8;AS7;Z;17. May;13. Feb;15. Jun;18;359
MERCEDES-BENZ;GL 63 AMG;SUV - STANDARD;05. May;8;AS7;Z;18. Feb;14;16. Mar;17;375
MERCEDES-BENZ;GLA 250 4MATIC;SUV - SMALL;2;4;AS7;Z;09. Aug;07. Apr;08. Jul;32;200
MERCEDES-BENZ;GLA 45 AMG 4MATIC;STATION WAGON - MID-SIZE;2;4;AS7;Z;10. May;08. Jan;09. Apr;30;216
MERCEDES-BENZ;GLK 250 BLUETEC 4MATIC;SUV - SMALL;02. Jan;4;AS7;D;09. Jun;7;08. May;33;230
MERCEDES-BENZ;GLK 350 4MATIC;SUV - SMALL;03. May;6;AS7;Z;12. Jun;09. Jun;11. Feb;25;258
MERCEDES-BENZ;ML 350 BLUETEC 4MATIC;SUV - STANDARD;3;6;AS7;D;11. Aug;08. May;10. Mar;27;278
MERCEDES-BENZ;ML 400 4MATIC;SUV - STANDARD;3;6;AS7;Z;13. Mar;10. Apr;12;24;276
MERCEDES-BENZ;ML 550 4MATIC;SUV - STANDARD;04. Jul;8;AS7;Z;16. Mar;11. Aug;14. Feb;20;327
MERCEDES-BENZ;ML 63 AMG 4MATIC;SUV - STANDARD;05. May;8;AS7;Z;17. Mar;13. May;15. Jun;18;359
MERCEDES-BENZ;S 400 4MATIC;MID-SIZE;04. Jul;6;AS7;Z;12. Jun;08. Jun;10. Aug;26;248
MERCEDES-BENZ;S 550 4MATIC COUPE;COMPACT;04. Jul;8;AS7;Z;14. Apr;09. Aug;12. Mar;23;283
MERCEDES-BENZ;S 550 4MATIC LWB;FULL-SIZE;04. Jul;8;AS7;Z;14. Aug;09. Aug;12. May;23;288
MERCEDES-BENZ;S 550 4MATIC SWB;MID-SIZE;04. Jul;8;AS7;Z;14. Jul;09. Jan;12. Feb;23;281
MERCEDES-BENZ;S 600;FULL-SIZE;6;12;AS7;Z;18. Jan;11;14. Sep;19;343
MERCEDES-BENZ;S 63 AMG 4MATIC;FULL-SIZE;05. May;8;AS7;Z;15. Jul;10. Jan;13. Feb;21;304
MERCEDES-BENZ;S 63 AMG COUPE;COMPACT;05. May;8;AS7;Z;15. Jul;10. Jan;13. Feb;21;304
MERCEDES-BENZ;S 65 AMG;FULL-SIZE;6;12;AS7;Z;18. May;11. Aug;15. May;18;357
MERCEDES-BENZ;S 65 AMG COUPE;COMPACT;6;12;AS7;Z;18;11. Mar;15;19;345
MERCEDES-BENZ;SL 550;TWO-SEATER;04. Jul;8;AS7;Z;13. Aug;09. May;11. Sep;24;274
MERCEDES-BENZ;SL 63 AMG;TWO-SEATER;05. May;8;AS7;Z;14. Jul;09. May;12. Apr;23;285
MERCEDES-BENZ;SL 65 AMG;TWO-SEATER;6;12;AS7;Z;16. Jul;11. Feb;14. Feb;20;327
MERCEDES-BENZ;SLK 250;TWO-SEATER;01. Aug;4;AS7;Z;10. Apr;07. Feb;9;31;207
MERCEDES-BENZ;SLK 250;TWO-SEATER;01. Aug;4;M6;Z;10. Apr;07. Feb;9;31;207
MERCEDES-BENZ;SLK 350;TWO-SEATER;03. May;6;AS7;Z;11. Jan;08. Jan;09. Aug;29;225
MERCEDES-BENZ;SLK 55 AMG;TWO-SEATER;05. May;8;AS7;Z;12. Apr;08. May;10. Jun;27;244
MERCEDES-BENZ;SLS AMG GT COUPE;TWO-SEATER;06. Feb;8;AM7;Z;18. Jan;12. Jun;15. Jun;18;359
MERCEDES-BENZ;SLS AMG GT ROADSTER;TWO-SEATER;06. Feb;8;AM7;Z;18. Jan;12. Jun;15. Jun;18;359
MINI;COOPER 3 DOOR;SUBCOMPACT;01. May;3;AS6;Z;08. May;06. Mar;07. May;38;172
MINI;COOPER 3 DOOR;SUBCOMPACT;01. May;3;M6;Z;08. Jan;05. Sep;07. Jan;40;163
MINI;COOPER 5 DOOR;SUBCOMPACT;01. May;3;AS6;Z;08. May;06. Mar;07. May;38;172
MINI;COOPER 5 DOOR;SUBCOMPACT;01. May;3;M6;Z;08. Feb;05. Sep;07. Feb;39;166
MINI;COOPER CONVERTIBLE;MINICOMPACT;01. Jun;4;AS6;Z;08. Jun;06. May;07. Jul;37;177
MINI;COOPER CONVERTIBLE;MINICOMPACT;01. Jun;4;M6;Z;08. Apr;06. Apr;07. May;38;172
